size,best,avg,worst
557,4959,4959,4197
449,3865,3865,3261
494,4300,4300,3635
526,4630,4630,3923
676,6252,6234,5287
258,2006,2006,1659
118,788,788,643
920,8919,8834,7577
705,6529,6529,5553
687,6357,6357,5404
100,648,648,512
647,5925,5925,5016
818,7766,7766,6637
754,7078,7078,6033
233,1783,1783,1485
883,8465,8465,7232
286,2280,2280,1883
636,5804,5804,4920
360,2978,2978,2484
412,3496,3496,2920
204,1528,1528,1258
922,8882,8882,7637
479,4161,4161,3542
107,701,701,566
330,2706,2706,2245
267,2097,2097,1736
611,5539,5539,4692
398,3366,3366,2793
168,1214,1214,986
735,6873,6873,5838
162,1162,1162,939
489,4251,4251,3593
976,9524,9396,8127
881,8397,8397,7203
60,338,338,274
185,1359,1359,1119
355,2947,2947,2466
224,1704,1704,1414
354,2936,2936,2437
948,9166,9166,7874
820,7794,7794,6620
490,4268,4268,3591
963,9325,9325,8004
33,161,161,123
62,356,356,287
792,7458,7458,6362
407,3453,3453,2908
771,7265,7265,6146
970,9400,9400,8089
816,7708,7708,6598
707,6571,6571,5560
797,7545,7545,6413
415,3535,3535,2982
904,8670,8670,7444
424,3612,3612,3034
973,9433,9433,8101
945,9071,9071,7835
686,6352,6352,5409
761,7135,7135,6057
669,6157,6157,5223
34,168,168,129
30,142,142,109
651,5969,5969,5024
64,364,364,300
239,1835,1835,1508
282,2242,2242,1859
150,1062,1062,859
633,5755,5755,4881
326,2666,2666,2219
337,2773,2773,2309
702,6518,6518,5567
200,1488,1488,1228
480,4166,4166,3534
799,7561,7561,6438
936,9012,9012,7750
412,3496,3496,2920
608,5498,5498,4666
370,3090,3090,2585
372,3112,3112,2582
703,6529,6529,5542
116,772,772,628
136,932,932,768
692,6408,6408,5430
222,1690,1690,1393
895,8593,8593,7368
335,2757,2757,2300
495,4315,4315,3672
755,7085,7085,6004
902,8666,8666,7473
252,1956,1956,1622
320,2610,2610,2160
293,2341,2341,1967
864,8222,8222,7060
569,5065,5065,4311
281,2209,2209,1841
618,5612,5612,4749
100,648,648,512
152,1070,1070,876
344,2828,2828,2354
865,8229,8229,7049
